"SurveyResponseID","AnswerNumber","WebsiteForPlanning","WebsiteForBooking","UsefulnessRating"
3557610,144,"www.i-SITE.org.nz",NA,"8"
3557364,100,"By visiting an airline outlet","By visiting an airline outlet","8"
3557610,145,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3557610,145,"Google+",NA,"8"
3557610,146,"Essential New Zealand mobile app",NA,"8"
3557610,146,"Essential New Zealand mobile app",NA,"8"
3557371,160,"Airline websites","Airline websites","Not Sure"
3557371,161,"100% Pure New Zealand www.newzealand.com","100% Pure New Zealand www.newzealand.com","9"
3557371,161,"100% Pure New Zealand www.newzealand.com","100% Pure New Zealand www.newzealand.com","9"
3557617,147,"Travel guides/books about New Zealand",NA,"8"
3557450,117,"Friends, family and colleagues",NA,"Very Useful10"
3557617,143,"Friends, family and colleagues",NA,"8"
3557371,161,"www.lonleyplanet.com",NA,"9"
3557617,145,"100% Pure New Zealand www.newzealand.com",NA,"4"
3557371,163,"Websites of individual i-SITE centres",NA,"8"
3557371,163,"Websites of individual i-SITE centres",NA,"8"
3557371,164,"Essential New Zealand mobile app",NA,"8"
3557452,119,"www.tripadvisor.com",NA,"8"
3557626,147,"Friends, family and colleagues",NA,"8"
3557371,164,"Another social networking website",NA,"8"
3557379,138,"Travel guides/books about New Zealand","Travel guides/books about New Zealand","9"
3557452,119,"Expedia","Expedia","8"
3557626,150,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","8"
3557452,119,"Expedia","Expedia","8"
3557371,165,"Travel guides/books about New Zealand","Travel guides/books about New Zealand","Not Sure"
3557626,148,"www.lonleyplanet.com",NA,"8"
3557379,139,"Another source",NA,"Very Useful10"
3557461,133,"www.lonleyplanet.com","www.lonleyplanet.com","8"
3557626,148,"www.lonleyplanet.com",NA,"8"
3557461,133,"www.lonleyplanet.com","www.lonleyplanet.com","9"
3557379,139,"Another source",NA,"Another source"
3557371,162,"Facebook",NA,"9"
3557461,133,"www.tripadvisor.com",NA,"9"
3557626,147,"www.tripadvisor.com",NA,"8"
