"SurveyResponseID","AnswerNumber","TechnologyUses"
3557577,206,"Internet access"
3557577,207,"Information about Maori culture / cultural activities"
3557451,137,"Weather information"
3557451,140,"Overview of NZ regions"
3557598,147,"Weather information"
3557598,152,"Information about amenities/services for the town you were in"
3557577,208,"Compare prices / find deals"
3557577,210,"Overview of NZ regions"
3557577,213,"Information about amenities/services for the town you were in"
3557577,209,"Directions"
3557599,105,"Directions"
3557577,214,"Accommodation in the region you were in"
3557577,211,"General information about a different region"
3557577,212,"See ratings by other travellers"
3557613,134,"Access to resources to assist you to plan"
3557613,136,"Maps"
3557613,140,"See ratings by other travellers"
3557613,137,"Internet access"
3557613,138,"Compare prices / find deals"
3557613,135,"Weather information"
3557613,141,"Transport/ travel options around New Zealand"
3557577,217,"Flights within New Zealand"
3557577,216,"Transport/ travel options around New Zealand"
3557577,218,"Event information"
3557577,219,"Attractions / Activities"
3557577,220,"Suggested itineraries"
3557613,142,"Flights within New Zealand"
3557613,143,"Attractions / Activities"
3557503,135,"Attractions / Activities"
3557613,139,"Directions"
3557586,102,"Internet access"
3557586,103,"Directions"
3557503,132,"General information about the region you were in"
3557503,134,"Internet access"
3557577,215,"Accommodation in a different region"
3557586,101,"Weather information"
3557595,152,"Flights within New Zealand"
3557595,153,"Attractions / Activities"
3557503,133,"Maps"
3557595,149,"Maps"
3557595,147,"General information about the region you were in"
3557595,150,"Internet access"
3557595,148,"Weather information"
3557595,151,"Transport/ travel options around New Zealand"
3557609,105,"Overview of NZ regions"
3557614,168,"General information about the region you were in"
3557614,174,"Internet access"
3557614,175,"Compare prices / find deals"
3557614,176,"Directions"
3557618,123,"General information about the region you were in"
3557614,170,"Access to resources to assist you to plan"
3557614,172,"Maps"
3557618,125,"Access to resources to assist you to plan"
3557614,171,"Weather information"
3557614,173,"To meet other travellers"
3557614,177,"Overview of NZ regions"
3557618,128,"Internet access"
3557618,129,"Compare prices / find deals"
3557614,169,"Check/confirm existing travel plans"
3557618,124,"Check/confirm existing travel plans"
3557618,137,"Flights within New Zealand"
3557618,138,"Event information"
3557618,139,"Attractions / Activities"
3557618,127,"Maps"
3557614,178,"General information about a different region"
3557618,132,"General information about a different region"
3557618,133,"See ratings by other travellers"
3557618,135,"Accommodation in a different region"
3557618,126,"Weather information"
3557618,131,"Overview of NZ regions"
3557618,134,"Accommodation in the region you were in"
3557526,116,"Maps"
3557614,179,"See ratings by other travellers"
3557614,183,"Flights within New Zealand"
3557614,184,"Event information"
3557614,185,"Attractions / Activities"
3557614,186,"Suggested itineraries"
3557614,182,"Accommodation in a different region"
3557618,136,"Transport/ travel options around New Zealand"
3557526,115,"Weather information"
3557526,117,"To meet other travellers"
3557526,118,"Accommodation in the region you were in"
3557614,180,"Information about amenities/services for the town you were in"
3557614,181,"Accommodation in the region you were in"
3557634,103,"Attractions / Activities"
3557618,130,"Directions"
3557645,121,"General information about the region you were in"
3557616,103,"General information about the region you were in"
3557645,125,"Internet access"
3557645,126,"Directions"
3557535,121,"Internet access"
3557645,124,"Maps"
3557645,127,"See ratings by other travellers"
3557645,122,"Check/confirm existing travel plans"
3557535,118,"Check/confirm existing travel plans"
3557645,129,"Attractions / Activities"
3557535,120,"Maps"
3557616,106,"Maps"
3557535,122,"Directions"
3557616,107,"Internet access"
3557616,104,"Check/confirm existing travel plans"
3557634,101,"Weather information"
3557634,102,"Overview of NZ regions"
3557645,123,"Weather information"
3557535,119,"Weather information"
3557645,128,"Transport/ travel options around New Zealand"
3557616,105,"Weather information"
3557616,110,"Flights within New Zealand"
3557544,115,"Attractions / Activities"
3557631,159,"Maps"
3557551,160,"Access to resources to assist you to plan"
3557551,162,"Maps"
3557551,164,"Accommodation in a different region"
3557631,158,"Check/confirm existing travel plans"
3557551,159,"Check/confirm existing travel plans"
3557670,135,"Check/confirm existing travel plans"
3557631,163,"Attractions / Activities"
3557551,165,"Suggested itineraries"
3557616,108,"Directions"
3557652,151,"Directions"
3557544,113,"Internet access"
3557544,114,"Directions"
3557631,157,"General information about the region you were in"
3557631,160,"Internet access"
3557631,161,"Compare prices / find deals"
