"SurveyResponseID","AnswerNumber","AirlineUsed","AirlineRating"
3558028,168,"Air New Zealand","9"
3557557,160,"China Southern","5"
3559386,148,"JetStar","7"
3558157,114,"JetStar","5"
3557960,148,"Another airline",NA
3557980,109,"Air New Zealand","Excellent  10"
3558023,170,"Cathay Pacific","9"
3557561,114,"Air New Zealand","7"
3557543,188,"Cathay Pacific","8"
3557964,131,"Korean Air","Excellent  10"
3558161,130,"Korean Air","9"
3559396,132,"Air New Zealand","Excellent  10"
3559415,131,"Air New Zealand","Excellent  10"
3559402,129,"Air New Zealand","9"
3558085,161,"China Southern","9"
3559423,110,"JetStar","5"
3558153,132,"Emirates","Excellent  10"
3558221,126,"Air New Zealand","Excellent  10"
3558072,220,"Emirates","8"
3557634,117,"Air New Zealand","5"
3559427,103,"Singapore Airlines","9"
3558121,155,"Emirates","Excellent  10"
3557586,113,"Emirates","Excellent  10"
3558081,132,"Air New Zealand","9"
3557610,181,"Another airline",NA
3558213,177,"China Southern","7"
3558217,215,"Another airline",NA
3557626,178,"Another airline",NA
3559475,124,"Another airline",NA
3558307,221,"Cathay Pacific","8"
3559483,193,"Air New Zealand","8"
3558177,200,"Emirates","9"
3558012,156,"China Southern","7"
3558076,242,"Emirates","Excellent  10"
3558181,163,"Singapore Airlines","Excellent  10"
3557563,176,"Air New Zealand","Excellent  10"
3557792,124,"Korean Air","Excellent  10"
3558020,125,"Cathay Pacific","7"
3557582,139,"Air Asia X","8"
3559400,175,"Another airline",NA
3558087,120,"Air Asia X","7"
3559455,148,"JetStar","9"
3559515,143,"JetStar","7"
3557666,185,"JetStar","4"
3558158,113,"Air New Zealand","Excellent  10"
3558182,144,"Another airline",NA
3557614,210,"Another airline",NA
3557618,177,"Air New Zealand","9"
3558365,181,"Air New Zealand","7"
3558008,163,"Emirates","9"
3558369,142,"Air New Zealand","8"
3557622,163,"Emirates","9"
3557602,122,"Lufthansa","9"
3558210,116,"Air New Zealand","Excellent  10"
3558349,141,"Cathay Pacific","9"
3558257,123,"Air New Zealand","8"
3558269,107,"Another airline",NA
3559431,129,"Singapore Airlines","Excellent  10"
3558297,150,"JetStar","Excellent  10"
3558241,111,"Qantas","7"
3558146,145,"Virgin/Virgin Blue/Pacific Blue","9"
3557674,173,"Air New Zealand","9"
3557670,153,"Another airline",NA
3558202,133,"Air New Zealand","9"
3558186,118,"Another airline",NA
3558193,165,"Emirates","8"
3558130,161,"Emirates","8"
3557654,111,"Emirates","Excellent  10"
