"SurveyResponseID","AnswerNumber","iSiteUsage"
3557713,100,"Check/confirm existing travel plans"
3557944,74,"Check/confirm existing travel plans"
3557657,94,"Attractions / Activities"
3557713,103,"Compare prices / find deals"
3557657,92,"Directions"
3557713,101,"Access to resources to assist you to plan"
3557944,75,"Access to resources to assist you to plan"
3557713,104,"Directions"
3557713,108,"Suggested itineraries"
3557986,91,"Information about Maori culture / cultural activities"
3557986,92,"Directions"
3557986,95,"Suggested itineraries"
3557986,94,"Attractions / Activities"
3557715,66,"Attractions / Activities"
3557657,93,"Event information"
3557713,105,"Information about amenities/services for the town you were in"
3557944,77,"Information about amenities/services for the town you were in"
3557713,106,"Transport/ travel options around New Zealand"
3557713,107,"Event information"
3557986,93,"Information about amenities/services for the town you were in"
3557986,90,"Maps"
3558018,87,"Maps"
3557960,88,"Attractions / Activities"
3558018,90,"Attractions / Activities"
3558018,88,"Information about Maori culture / cultural activities"
3557800,101,"General information about the region you were in"
3557960,87,"Event information"
3557689,80,"Suggested itineraries"
3557800,105,"Attractions / Activities"
3558020,82,"Directions"
3557800,106,"Suggested itineraries"
3557800,102,"Maps"
3557800,103,"Internet access"
3557722,93,"Weather information"
3557960,89,"Suggested itineraries"
3557722,95,"Information about Maori culture / cultural activities"
3557722,98,"Attractions / Activities"
3558020,85,"Attractions / Activities"
3557971,72,"General information about the region you were in"
3557815,85,"Check/confirm existing travel plans"
3557815,88,"Attractions / Activities"
3557758,85,"Check/confirm existing travel plans"
3557722,96,"Directions"
3558043,117,"Access to resources to assist you to plan"
3558043,121,"Information about Maori culture / cultural activities"
3557722,94,"Maps"
3557815,86,"Maps"
3557815,87,"Internet access"
3558043,116,"General information about the region you were in"
3558043,122,"Compare prices / find deals"
3558043,118,"Weather information"
3558001,75,"Attractions / Activities"
3558043,119,"Maps"
3558043,120,"Internet access"
3558018,89,"Information about amenities/services for the town you were in"
3558020,83,"Accommodation in a different region"
3557800,104,"Transport/ travel options around New Zealand"
3557722,97,"Event information"
3558020,84,"Transport/ travel options around New Zealand"
3558001,74,"Information about amenities/services for the town you were in"
3558043,124,"Information about amenities/services for the town you were in"
3558043,123,"Directions"
3558043,127,"Suggested itineraries"
3557788,77,"Access to resources to assist you to plan"
3557788,79,"Directions"
3557848,109,"Directions"
3557788,78,"Maps"
3558054,108,"Maps"
3557848,107,"Weather information"
3557848,108,"Maps"
3558019,79,"Maps"
3558043,125,"Event information"
3558043,126,"Attractions / Activities"
3557788,76,"General information about the region you were in"
3557848,110,"Attractions / Activities"
3558019,80,"Attractions / Activities"
3558054,111,"Transport/ travel options around New Zealand"
3558054,112,"Event information"
3557788,80,"Attractions / Activities"
3558054,109,"Overview of NZ regions"
3558054,113,"Attractions / Activities"
3558021,100,"General information about the region you were in"
3557788,81,"Suggested itineraries"
3558054,110,"General information about a different region"
3558054,114,"Suggested itineraries"
3558086,79,"Access to resources to assist you to plan"
3557850,82,"Directions"
3558028,100,"Access to resources to assist you to plan"
3558086,80,"Maps"
3557850,80,"Maps"
3557850,81,"Internet access"
3557850,83,"Information about amenities/services for the town you were in"
3557850,84,"Event information"
