"SurveyResponseID","AnswerNumber","HobbitExpType"
3559500,171,"The scenery"
3559500,172,"Wanted to see if the scenery was like it was in the film"
3559500,173,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559500,174,"Wanted to see where the film was made"
3559500,175,"I wanted to visit Hobbiton"
3559512,118,"Wanted to see where the film was made"
3559549,161,"The scenery"
3559561,177,"The scenery"
3559561,178,"Wanted to see if the scenery was like it was in the film"
3559561,179,"Wanted to see where the film was made"
3559561,180,"I wanted to visit Hobbiton"
3559561,181,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3559570,150,"The scenery"
3559571,163,"The scenery"
3559571,164,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559571,165,"Wanted to see where the film was made"
3559571,166,"I wanted to visit Hobbiton"
3559614,139,"The scenery"
3559614,140,"Wanted to see if the scenery was like it was in the film"
3559614,141,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559614,142,"I wanted to visit Hobbiton"
3559614,143,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3559623,140,"Wanted to see if the scenery was like it was in the film"
3559623,141,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559623,142,"Wanted to see where the film was made"
3559623,143,"I wanted to visit Hobbiton"
3559643,145,"Wanted to see if the scenery was like it was in the film"
3559645,155,"The scenery"
3559645,156,"Wanted to see if the scenery was like it was in the film"
3559645,157,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559645,158,"Wanted to see where the film was made"
3559645,159,"I wanted to visit Hobbiton"
3559651,136,"Wanted to see if the scenery was like it was in the film"
3559651,137,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559651,138,"I wanted to visit Hobbiton"
3559676,117,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3559690,116,"The scenery"
3559690,117,"Wanted to see if the scenery was like it was in the film"
3559690,118,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559690,119,"Wanted to see where the film was made"
3559690,120,"I wanted to visit Hobbiton"
3559690,121,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3559694,132,"The scenery"
