"SurveyResponseID","AnswerNumber","AmenityType","SatisfactionRatingReason"
3558611,114,"i-Sites","Not a lot of choices available"
3558493,98,"Accommodation","Too expensive"
3558493,101,"Food & beverage outlets","Not as good as you get overseas"
3558546,120,"Food & beverage outlets","Alcohol too expensive"
3558546,119,"Accommodation","Too expensive"
3558483,123,"Sense of safety","Another reason"
3558501,84,"Activities experienced","No reason"
3558507,133,"Customer service","Slow"
3558493,100,"Accommodation","Poor value for money"
3558636,90,"Commercial transport","Expensive"
3558631,132,"Customer service","Staff didn't care"
3558622,92,"Commercial transport","Expensive"
3558507,132,"Commercial transport","Another reason"
3558636,91,"Commercial transport","Another reason"
3558555,98,"Food & beverage outlets","Not as good as you get overseas"
3558574,115,"Maori activities experienced","Learnt about a new culture"
3558555,97,"Food & beverage outlets","Limited choices"
3558590,147,"Maori activities experienced","Poor quality/standard"
3558574,116,"Maori activities experienced","Did not live up to expectations"
3558590,148,"Maori activities experienced","Not very informative"
3558637,139,"Accommodation","Too expensive"
3558722,139,"Accommodation","Too expensive"
3558637,140,"Accommodation","No free internet"
3558722,138,"Accommodation","Poor/old facilities"
3558621,81,"Customer service","Staff seemed rushed"
3558549,108,"Commercial transport","Another reason"
3558637,141,"Customer service","Another reason"
3558516,87,"Commercial transport","Inconvenient public transportation"
3558640,113,"Accommodation","Poor customer service"
3558640,116,"Accommodation","Poor value for money"
3558640,112,"Accommodation","Poor/old facilities"
3558640,115,"Accommodation","No free internet"
3558653,105,"Commercial transport","No reason"
3558590,146,"Maori activities experienced","Did not live up to expectations"
3558590,149,"Maori activities experienced","Well organised"
3558722,140,"Accommodation","Poor standard of cleanliness/dirty"
3558643,86,"Activities experienced","No reason"
3558640,114,"Accommodation","Poor standard of cleanliness/dirty"
3558731,127,"Accommodation","Too expensive"
3558644,95,"Activities experienced","Too expensive"
3558731,128,"Accommodation","Poor value for money"
3558590,150,"i-Sites","Another reason"
3558731,129,"NZ environment","Urban sprawl"
3558565,86,"Maori activities experienced","Entertaining"
3558676,101,"Commercial transport","The transport was delayed"
3558676,98,"Food & beverage outlets","Too expensive"
3558755,99,"Food & beverage outlets","Limited choices"
3558696,118,"NZ environment","More effort to preserve natural environment requir"
3558658,105,"i-Sites","No reason"
3558567,98,"Maori activities experienced","No reason"
3558676,99,"Food & beverage outlets","Alcohol too expensive"
3558755,100,"Commercial transport","Another reason"
3558600,78,"NZ environment","No reason"
3558756,122,"Accommodation","Poor/old facilities"
3558743,103,"Food & beverage outlets","Supermarkets lack of variety"
3558617,85,"Food & beverage outlets","Limited choices"
3558743,101,"Accommodation","Noisy"
3558764,113,"Maori activities experienced","No reason"
3558813,120,"Maori activities experienced","Not very exciting/boring"
3558743,100,"Accommodation","No free internet"
3558617,86,"Food & beverage outlets","Another reason"
3558601,131,"Commercial transport","Expensive"
3558813,119,"Commercial transport","Another reason"
3558823,123,"Commercial transport","Expensive"
3558761,164,"Food & beverage outlets","Limited choices"
3558761,162,"Accommodation","Too expensive"
3558761,165,"Food & beverage outlets","Not as good as you get overseas"
3558823,124,"Commercial transport","Inconvenient public transportation"
3558731,130,"NZ environment","More effort to preserve natural environment requir"
3558676,100,"Commercial transport","Expensive"
3558743,99,"Accommodation","Too expensive"
3558795,114,"i-Sites","Pushed certain activities"
3558743,102,"Food & beverage outlets","Limited choices"
3558773,93,"Activities experienced","Not sure"
3558814,96,"Maori activities experienced","Not very informative"
3558761,163,"Accommodation","Poor value for money"
3558761,166,"Food & beverage outlets","Alcohol too expensive"
3558632,138,"Food & beverage outlets","Too expensive"
3558632,140,"Food & beverage outlets","Supermarkets lack of variety"
3558853,92,"Food & beverage outlets","Alcohol too expensive"
3558632,139,"Food & beverage outlets","Poor food quality"
3558822,80,"Food & beverage outlets","Poor food quality"
3558777,145,"Food & beverage outlets","Limited choices"
3558822,81,"Commercial transport","Expensive"
3558635,104,"Maori activities experienced","Entertaining"
3558635,105,"Maori activities experienced","Not very informative"
3558669,92,"Maori activities experienced","Informative"
3558669,95,"Maori activities experienced","Did not live up to expectations"
3558669,93,"Maori activities experienced","Entertaining"
3558669,94,"Maori activities experienced","Good staff"
3558669,96,"Maori activities experienced","Well organised"
3558669,97,"Maori activities experienced","Another indifferent or poor aspect"
3558898,90,"Accommodation","Poor standard of cleanliness/dirty"
3558898,89,"Accommodation","Poor/old facilities"
3558898,91,"Accommodation","Noisy"
3558794,95,"Food & beverage outlets","Too expensive"
3558872,85,"NZ environment","Another reason"
3558683,120,"Accommodation","Not sure"
3558890,85,"Accommodation","Generally poor standard"
3558930,87,"Food & beverage outlets","Alcohol too expensive"
3558905,96,"Accommodation","Another reason"
3558872,83,"Activities experienced","Have to cancel the activity due to weather/road  c"
3558858,118,"Commercial transport","Poor customer service"
3558937,103,"Commercial transport","No reason"
3558964,110,"i-Sites","Not sure"
3558766,116,"Accommodation","No reason"
3558913,117,"Food & beverage outlets","Too expensive"
3558859,118,"Food & beverage outlets","Poor service"
3558768,86,"Customer service","Staff not friendly"
3558910,99,"Customer service","Staff not friendly"
3558910,98,"Food & beverage outlets","Too expensive"
3558794,96,"Food & beverage outlets","Not as good as you get overseas"
3558872,84,"NZ environment","Litter"
3558811,106,"Accommodation","Poor value for money"
3558702,104,"Activities experienced","Have to cancel the activity due to weather/road  c"
3558920,114,"Commercial transport","No reason"
3558913,118,"i-Sites","Too busy/long queues"
3559007,113,"Maori activities experienced","Not very exciting/boring"
3558927,141,"Accommodation","Too expensive"
3558802,98,"Food & beverage outlets","No reason"
3558979,117,"i-Sites","No reason"
3559062,107,"Accommodation","No air-conditioning/heating inadequate"
