"SurveyResponseID","AnswerNumber","TechnologyType"
3557884,101,"Smart phone"
3558223,117,"Other types of technology"
3557879,126,"Wi-fi internet locations"
3558175,115,"Your own laptop or iPad/tablet"
3557884,102,"Wi-fi internet locations"
3558176,205,"Wi-fi internet locations"
3558046,151,"Wi-fi internet locations"
3558046,152,"Your own laptop or iPad/tablet"
3558176,204,"Smart phone"
3558046,150,"Smart phone"
3558240,132,"Smart phone"
3558241,95,"Smart phone"
3557904,99,"Wi-fi internet locations"
3557904,100,"Your own laptop or iPad/tablet"
3558240,133,"Wi-fi internet locations"
3558240,134,"Your own laptop or iPad/tablet"
3558241,96,"Wi-fi internet locations"
3558051,102,"Your own laptop or iPad/tablet"
3558242,135,"Smart phone"
3558256,147,"Smart phone"
3557911,112,"Smart phone"
3558053,112,"Smart phone"
3557909,130,"Wi-fi internet locations"
3557909,131,"Your own laptop or iPad/tablet"
3558256,148,"Wi-fi internet locations"
3558256,149,"Your own laptop or iPad/tablet"
3557911,113,"Wi-fi internet locations"
3558053,113,"Internet cafes"
3557911,114,"Your own laptop or iPad/tablet"
3558053,114,"Your own laptop or iPad/tablet"
3557918,105,"Wi-fi internet locations"
3558257,104,"Smart phone"
3558258,148,"Smart phone"
3558258,149,"Wi-fi internet locations"
3558258,150,"Your own laptop or iPad/tablet"
3558275,120,"Smart phone"
3557929,138,"Smart phone"
3558069,99,"Your own laptop or iPad/tablet"
3558275,121,"Wi-fi internet locations"
3558071,124,"Smart phone"
3558276,120,"Smart phone"
3557929,140,"Other types of technology"
3557929,139,"Your own laptop or iPad/tablet"
3558071,125,"Internet cafes"
3558071,126,"Wi-fi internet locations"
3558071,127,"Your own laptop or iPad/tablet"
3558276,121,"Wi-fi internet locations"
3558276,122,"Your own laptop or iPad/tablet"
3558076,212,"Smart phone"
3557952,115,"Smart phone"
3558076,213,"Wi-fi internet locations"
3557952,116,"Wi-fi internet locations"
3557952,117,"Your own laptop or iPad/tablet"
3558289,103,"Your own laptop or iPad/tablet"
3558076,214,"Your own laptop or iPad/tablet"
3557959,159,"Your own laptop or iPad/tablet"
3558290,100,"Smart phone"
3557959,158,"Smart phone"
3558307,204,"Smart phone"
3558080,139,"None of these"
3558307,205,"Wi-fi internet locations"
3558085,126,"Wi-fi internet locations"
3558085,127,"Your own laptop or iPad/tablet"
3558325,130,"Wi-fi internet locations"
3557970,182,"Internet cafes"
3557970,183,"Wi-fi internet locations"
3557970,184,"Your own laptop or iPad/tablet"
3558342,112,"Wi-fi internet locations"
3558342,113,"Your own laptop or iPad/tablet"
3558096,148,"Wi-fi internet locations"
3558087,112,"None of these"
3558096,149,"Your own laptop or iPad/tablet"
3557986,127,"Your own laptop or iPad/tablet"
3558357,144,"Wi-fi internet locations"
3558325,129,"Smart phone"
3558342,111,"Smart phone"
3558096,147,"Smart phone"
3558110,113,"None of these"
3558119,154,"Wi-fi internet locations"
3558119,155,"Your own laptop or iPad/tablet"
3558121,129,"Wi-fi internet locations"
3558359,146,"Wi-fi internet locations"
3558359,147,"Your own laptop or iPad/tablet"
3557995,119,"Internet cafes"
3558357,143,"Smart phone"
3558119,153,"Smart phone"
3558121,128,"Smart phone"
3558359,145,"Smart phone"
3557995,120,"Wi-fi internet locations"
3557995,121,"Your own laptop or iPad/tablet"
3557995,118,"Smart phone"
3558374,133,"Smart phone"
3558374,134,"Wi-fi internet locations"
3558002,135,"Smart phone"
3558130,144,"Smart phone"
3558374,135,"Your own laptop or iPad/tablet"
3558002,136,"Wi-fi internet locations"
3558375,147,"Smart phone"
3558376,127,"Smart phone"
3557995,122,"Other types of technology"
3558137,145,"Smart phone"
3558391,144,"Smart phone"
3558128,128,"Other types of technology"
3558375,148,"Your own laptop or iPad/tablet"
3558130,145,"Wi-fi internet locations"
3558376,128,"Wi-fi internet locations"
3558376,129,"Your own laptop or iPad/tablet"
3558391,145,"Wi-fi internet locations"
3558144,141,"Wi-fi internet locations"
3558018,128,"Your own laptop or iPad/tablet"
3558391,146,"Your own laptop or iPad/tablet"
3558144,142,"Your own laptop or iPad/tablet"
3558020,113,"Your own laptop or iPad/tablet"
3558146,119,"Wi-fi internet locations"
3558146,120,"Your own laptop or iPad/tablet"
3558153,109,"Wi-fi internet locations"
3558408,144,"Wi-fi internet locations"
3558146,118,"Smart phone"
3558153,108,"Smart phone"
3558038,120,"Smart phone"
3558160,99,"None of these"
3558408,145,"Your own laptop or iPad/tablet"
3558038,121,"Wi-fi internet locations"
3558043,177,"Internet cafes"
3558410,171,"Wi-fi internet locations"
3558043,178,"Wi-fi internet locations"
3558410,172,"Your own laptop or iPad/tablet"
3558043,179,"Your own laptop or iPad/tablet"
