"SurveyResponseID","AnswerNumber","InformationSourceUsed"
3629790,141,"i-SITE Visitor Information Centre(s)"
3629889,147,"i-SITE Visitor Information Centre(s)"
3629890,121,"i-SITE Visitor Information Centre(s)"
3629905,130,"i-SITE Visitor Information Centre(s)"
3629916,144,"i-SITE Visitor Information Centre(s)"
3629941,123,"i-SITE Visitor Information Centre(s)"
3629974,136,"i-SITE Visitor Information Centre(s)"
3629958,98,"i-SITE Visitor Information Centre(s)"
3629985,117,"i-SITE Visitor Information Centre(s)"
3629992,127,"i-SITE Visitor Information Centre(s)"
3630018,139,"i-SITE Visitor Information Centre(s)"
3630037,131,"i-SITE Visitor Information Centre(s)"
3630045,142,"i-SITE Visitor Information Centre(s)"
3630055,157,"i-SITE Visitor Information Centre(s)"
3630057,157,"i-SITE Visitor Information Centre(s)"
3630077,119,"i-SITE Visitor Information Centre(s)"
3630080,101,"i-SITE Visitor Information Centre(s)"
3630086,121,"i-SITE Visitor Information Centre(s)"
3630094,97,"i-SITE Visitor Information Centre(s)"
3630120,138,"i-SITE Visitor Information Centre(s)"
3630124,117,"i-SITE Visitor Information Centre(s)"
3630146,90,"i-SITE Visitor Information Centre(s)"
3630154,172,"i-SITE Visitor Information Centre(s)"
3630167,208,"i-SITE Visitor Information Centre(s)"
3630172,137,"i-SITE Visitor Information Centre(s)"
3630171,129,"i-SITE Visitor Information Centre(s)"
3630190,134,"i-SITE Visitor Information Centre(s)"
3630195,136,"i-SITE Visitor Information Centre(s)"
3630201,113,"i-SITE Visitor Information Centre(s)"
3630215,124,"i-SITE Visitor Information Centre(s)"
3630217,118,"i-SITE Visitor Information Centre(s)"
3630250,152,"i-SITE Visitor Information Centre(s)"
3630245,123,"i-SITE Visitor Information Centre(s)"
3630270,122,"i-SITE Visitor Information Centre(s)"
3630299,149,"i-SITE Visitor Information Centre(s)"
3630314,140,"i-SITE Visitor Information Centre(s)"
3630318,110,"i-SITE Visitor Information Centre(s)"
3630341,112,"i-SITE Visitor Information Centre(s)"
3630363,125,"i-SITE Visitor Information Centre(s)"
3630381,136,"i-SITE Visitor Information Centre(s)"
3630393,151,"i-SITE Visitor Information Centre(s)"
3630408,109,"i-SITE Visitor Information Centre(s)"
3630414,123,"i-SITE Visitor Information Centre(s)"
3630416,129,"i-SITE Visitor Information Centre(s)"
3630437,142,"i-SITE Visitor Information Centre(s)"
3630446,133,"i-SITE Visitor Information Centre(s)"
3630454,159,"i-SITE Visitor Information Centre(s)"
3630458,114,"i-SITE Visitor Information Centre(s)"
