"SurveyResponseID","AnswerNumber","SocialMediaUsed","TripStage"
3557756,116,"None of these","Planning trip to NZ"
3557757,100,"Facebook","Planning trip to NZ"
3557753,104,"None of these","Planning trip to NZ"
3557793,112,"Google+","Planning trip to NZ"
3557774,107,"Facebook","Planning trip to NZ"
3557663,129,"None of these","Planning trip to NZ"
3557664,157,"None of these","Planning trip to NZ"
3557664,161,"Instagram","After trip to NZ"
3557753,105,"None of these","During trip to NZ"
3557664,159,"Instagram","During trip to NZ"
3557664,158,"Facebook","During trip to NZ"
3557666,155,"Facebook","Planning trip to NZ"
3557793,114,"None of these","After trip to NZ"
3557664,160,"Facebook","After trip to NZ"
3557785,119,"Google+","Planning trip to NZ"
3557666,156,"Instagram","Planning trip to NZ"
3557809,110,"None of these","Planning trip to NZ"
3557666,157,"Pinterest","Planning trip to NZ"
3557665,143,"None of these","Planning trip to NZ"
3557774,108,"None of these","During trip to NZ"
3557785,120,"Google+","During trip to NZ"
3557665,144,"Facebook","During trip to NZ"
3557774,109,"None of these","After trip to NZ"
3557753,106,"None of these","After trip to NZ"
3557665,145,"Facebook","After trip to NZ"
3557666,158,"Facebook","During trip to NZ"
3557666,161,"Facebook","After trip to NZ"
3557666,160,"Pinterest","During trip to NZ"
3557666,159,"Instagram","During trip to NZ"
3557666,162,"Instagram","After trip to NZ"
3557809,112,"None of these","After trip to NZ"
3557679,115,"Wechat","Planning trip to NZ"
3557820,112,"None of these","Planning trip to NZ"
3557775,107,"Facebook","During trip to NZ"
3557679,116,"Wechat","During trip to NZ"
3557775,106,"None of these","Planning trip to NZ"
3557785,121,"None of these","After trip to NZ"
3557680,175,"None of these","Planning trip to NZ"
3557809,111,"None of these","During trip to NZ"
3557679,117,"Wechat","After trip to NZ"
3557775,108,"Google+","During trip to NZ"
3557680,176,"Facebook","During trip to NZ"
3557792,120,"None of these","Planning trip to NZ"
